ID	Weight	Stimulus	TargetType	CorrectResponse	StimType	BlockType	TargetStimulus
1	1	VM Stimuli/32M_HO.bmp	nonlure	nontarget	PosFace	0-Back	VM Stimuli/19F_HO.bmp
2	1	VM Stimuli/BF016_HO.bmp	nonlure	nontarget	PosFace	0-Back	VM Stimuli/19F_HO.bmp
3	1	VM Stimuli/BM06_HO.bmp	nonlure	nontarget	PosFace	0-Back	VM Stimuli/19F_HO.bmp
4	1	VM Stimuli/BF016_HO.bmp	lure	nontarget	PosFace	0-Back	VM Stimuli/19F_HO.bmp
5	1	VM Stimuli/19F_HO.bmp	target	Target	PosFace	0-Back	VM Stimuli/19F_HO.bmp
6	1	VM Stimuli/32M_HO.bmp	lure	nontarget	PosFace	0-Back	VM Stimuli/19F_HO.bmp
7	1	VM Stimuli/20M_HO.bmp	nonlure	nontarget	PosFace	0-Back	VM Stimuli/19F_HO.bmp
8	1	VM Stimuli/19F_HO.bmp	target	Target	PosFace	0-Back	VM Stimuli/19F_HO.bmp
9	1	VM Stimuli/WF007_HO.bmp	nonlure	nontarget	PosFace	0-Back	VM Stimuli/19F_HO.bmp
10	1	VM Stimuli/BM06_HO.bmp	lure	nontarget	PosFace	0-Back	VM Stimuli/19F_HO.bmp
