ID	Weight	Stimulus	TargetType	CorrectResponse	StimType	BlockType
1	1	VM Stimuli/BM09_NC.bmp	nonlure	nontarget	NeutFace	2-Back
2	1	VM Stimuli/BM09_NC.bmp	lure	nontarget	NeutFace	2-Back
3	1	VM Stimuli/42M_NC.bmp	nonlure	nontarget	NeutFace	2-Back
4	1	VM Stimuli/AF218_NC.bmp	nonlure	nontarget	NeutFace	2-Back
5	1	VM Stimuli/LM207_NC.bmp	nonlure	nontarget	NeutFace	2-Back
6	1	VM Stimuli/42M_NC.bmp	lure	nontarget	NeutFace	2-Back
7	1	VM Stimuli/LM207_NC.bmp	target	Target	NeutFace	2-Back
8	1	VM Stimuli/7F_NC.bmp	nonlure	nontarget	NeutFace	2-Back
9	1	VM Stimuli/LF206_NC.bmp	nonlure	nontarget	NeutFace	2-Back
10	1	VM Stimuli/7F_NC.bmp	target	Target	NeutFace	2-Back
