thisN,thisTrialN,thisRepN,ID,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,response.keys,response.corr,TargetStimulus,BlockLoop_Run1.thisRepN,BlockLoop_Run1.thisTrialN,BlockLoop_Run1.thisN,BlockLoop_Run1.thisIndex,TrialLoop_Run1.thisRepN,TrialLoop_Run1.thisTrialN,TrialLoop_Run1.thisN,TrialLoop_Run1.thisIndex,thisRow.t,notes,TitlePage.started,Continue.started,NbackTitle.started,TitlePage.stopped,Continue.keys,Continue.rt,Continue.duration,Instructions.started,Continue_2.started,Instruction.started,Instructions.stopped,Continue_2.keys,Continue_2.rt,Continue_2.duration,Instructions_2.started,Continue_3.started,Instruction_2.started,Target.started,TargetImage.started,Instructions_2.stopped,Continue_3.keys,Continue_3.rt,Continue_3.duration,Instructions_3.started,Continue_4.started,Instruction_3.started,Green_Border.started,Image_2Back.started,Image_1Back.started,Image_ToMatch.started,LEFTSIDESCREEN_CAPTION.started,RIGHTSIDESCREEN_CAPTION.started,Instructions_3.stopped,Continue_4.keys,Continue_4.rt,Continue_4.duration,Instructions_4.started,Continue_5.started,Instruction_4.started,Instructions_4.stopped,Continue_5.keys,Continue_5.rt,Continue_5.duration,Instructions_5.started,Continue_6.started,Instruction_5.started,Instructions_5.stopped,Continue_6.keys,Continue_6.rt,Continue_6.duration,Waiting4Scanner.started,Continue_7.started,Scanner_Instruction.started,Waiting4Scanner.stopped,Continue_7.keys,Continue_7.rt,Continue_7.duration,CueFix_Run1.started,Cue_Fix.started,CueFix_Run1.stopped,Cue2Back.started,Cue_2Back.started,Cue2Back.stopped,Cue0Back.started,Cue0Back.stopped,Stim.started,StimulusImage.started,LeftScreenResponse.started,RightScreenResponse.started,response.started,Stim.stopped,TrialLoop_Run1.response.keys,TrialLoop_Run1.response.corr,correctKey,pressedKey,accuracy,RT,date,time,version,run,block,id,stimulus,stimType,Fix.started,End_Fix.started,Fix.stopped,StimulusImage.stopped,LeftScreenResponse.stopped,RightScreenResponse.stopped,response.stopped,End_Fix.stopped,EndBlock_Run1.started,EndBlock_Run1.stopped,Cue_Target.started,Cue_TargetImage.started,Cue_Fix.stopped,Fix15Sec.started,Fix_15_Sec.started,Fix15Sec.stopped,Fix5Sec.started,Fix_5_Sec.started,Fix5Sec.stopped,Instructions_6.started,Continue_8.started,Instruction_6.started,Please enter the Subject ID:,Please enter the Session Number:,Enter subject's handedness:,Please select version:,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,0.015975166112184525,0.05534287542104721,0.05534287542104721,1.5444540828466415,space,1.2121503734961152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-20_12h22.45.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543211,1,Right,1,2026-01-20_12h22.45.472,EmoNback_Behavioral,,2025.1.1,90.63091634475249,2026-01-20 12h23.01.158604 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5457077082246542,1.562613875605166,1.562613875605166,2.1710400003939867,space,0.6043070405721664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-20_12h22.45.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543211,1,Right,1,2026-01-20_12h22.45.472,EmoNback_Behavioral,,2025.1.1,90.63091634475249,2026-01-20 12h23.01.158604 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1747659584507346,2.2139040408656,2.2139040408656,2.2139040408656,2.2139040408656,2.692787458188832,space,0.4711514161899686,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-20_12h22.45.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543211,1,Right,1,2026-01-20_12h22.45.472,EmoNback_Behavioral,,2025.1.1,90.63091634475249,2026-01-20 12h23.01.158604 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.695843791589141,2.7563882507383823,2.7563882507383823,2.7563882507383823,2.7563882507383823,2.7563882507383823,2.7563882507383823,2.7563882507383823,2.7563882507383823,3.1337452083826065,space,0.3664107909426093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-20_12h22.45.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543211,1,Right,1,2026-01-20_12h22.45.472,EmoNback_Behavioral,,2025.1.1,90.63091634475249,2026-01-20 12h23.01.158604 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1355109587311745,3.1484397500753403,3.1484397500753403,3.5368125000968575,space,0.3809467488899827,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-20_12h22.45.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543211,1,Right,1,2026-01-20_12h22.45.472,EmoNback_Behavioral,,2025.1.1,90.63091634475249,2026-01-20 12h23.01.158604 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.539083916693926,3.554686250165105,3.554686250165105,3.895877916365862,space,0.33405112382024527,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-20_12h22.45.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543211,1,Right,1,2026-01-20_12h22.45.472,EmoNback_Behavioral,,2025.1.1,90.63091634475249,2026-01-20 12h23.01.158604 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.897803916595876,3.9129864163696766,3.9129864163696766,10.004222958348691,t,6.084391665644944,None,,,,,,,,,,,,,,,,,,,,,2026-01-20_12h22.45.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543211,1,Right,1,2026-01-20_12h22.45.472,EmoNback_Behavioral,,2025.1.1,90.63091634475249,2026-01-20 12h23.01.158604 -0600,
0,0,0,1,1,VM Stimuli/23M_HO.bmp,nonlure,nontarget,PosFace,2-Back,None,0,,0,0,0,0,0,0,0,0,10.554709957912564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.006529625505209,10.022382291033864,10.513831041753292,10.542884791269898,10.554709957912564,12.999294958077371,13.042718625627458,13.04278083331883,13.04668179154396,13.060143874958158,13.060143874958158,13.060143874958158,13.060143874958158,15.045162833295763,None,0,2,NA,NA,NA,2026-01-20_12h22.45.472,12:23:16,1,1,0,1,VM Stimuli/23M_HO.bmp,PosFace,,,,,,,,,,,,,,,,,,,,,,,543211,1,Right,1,2026-01-20_12h22.45.472,EmoNback_Behavioral,,2025.1.1,90.63091634475249,2026-01-20 12h23.01.158604 -0600,
0,0,0,1,1,VM Stimuli/23M_HO.bmp,nonlure,nontarget,PosFace,2-Back,None,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-20_12h22.45.472,,,,,,,,15.045982208102942,15.057796833105385,15.553317333571613,,,,,,,,,,,,,,,,,,,,543211,1,Right,1,2026-01-20_12h22.45.472,EmoNback_Behavioral,,2025.1.1,90.63091634475249,2026-01-20 12h23.01.158604 -0600,
1,1,0,2,1,VM Stimuli/12F_HO.bmp,nonlure,nontarget,PosFace,2-Back,None,0,,0,0,0,0,0,1,1,1,15.611933375708759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.554219208657742,,15.554269958287477,15.596585708670318,15.596626666374505,15.600019208155572,15.611933375708759,15.611933375708759,15.611933375708759,15.611933375708759,17.601500333286822,None,0,2,NA,NA,NA,2026-01-20_12h22.45.472,12:23:18,1,1,0,2,VM Stimuli/12F_HO.bmp,PosFace,,,,,,,,,,,,,,,,,,,,,,,543211,1,Right,1,2026-01-20_12h22.45.472,EmoNback_Behavioral,,2025.1.1,90.63091634475249,2026-01-20 12h23.01.158604 -0600,
