ID,Weight,Nested,Procedure,Stimulus,TargetType,CorrectResponse,StimType,BlockType,thisN,thisTrialN,thisRepN,response.keys,response.corr,response.rt,response.duration,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,practiceLoop2.thisRepN,practiceLoop2.thisTrialN,practiceLoop2.thisN,practiceLoop2.thisIndex,practiceLoop3.thisRepN,practiceLoop3.thisTrialN,practiceLoop3.thisN,practiceLoop3.thisIndex,practiceLoop4.thisRepN,practiceLoop4.thisTrialN,practiceLoop4.thisN,practiceLoop4.thisIndex,practiceLoop5.thisRepN,practiceLoop5.thisTrialN,practiceLoop5.thisN,practiceLoop5.thisIndex,practiceLoop6.thisRepN,practiceLoop6.thisTrialN,practiceLoop6.thisN,practiceLoop6.thisIndex,practiceLoop7.thisRepN,practiceLoop7.thisTrialN,practiceLoop7.thisN,practiceLoop7.thisIndex,practiceLoop8.thisRepN,practiceLoop8.thisTrialN,practiceLoop8.thisN,practiceLoop8.thisIndex,thisRow.t,notes,TitlePage.started,NextPage.started,NbackTitle.started,TitlePage.stopped,NextPage.keys,NextPage.rt,NextPage.duration,Instructions1.started,NextPage_2.started,Instructions_1.started,Instructions1.stopped,NextPage_2.keys,NextPage_2.rt,NextPage_2.duration,Instructions2.started,NextPage_3.started,Instructions_2.started,FaceImage.started,Instructions2.stopped,NextPage_3.keys,NextPage_3.rt,NextPage_3.duration,Instructions3.started,NextPage_4.started,Instructions_3.started,PlaceImage.started,Instructions3.stopped,NextPage_4.keys,NextPage_4.rt,NextPage_4.duration,Instructions5pt5.started,NextPage_5.started,Instructions_5pt5.started,Instructions5pt5.stopped,NextPage_5.keys,NextPage_5.rt,NextPage_5.duration,Instructions6.started,NextPage_6.started,Instructions_6.started,Instructions_6_Target.started,TargetImage.started,Instructions_6_Match.started,Instructions6.stopped,NextPage_6.keys,NextPage_6.rt,NextPage_6.duration,Instructions14.started,NextPage_7.started,Instructions_14.started,Instructions14.stopped,NextPage_7.keys,NextPage_7.rt,NextPage_7.duration,Instructions6pt2.started,NextPage_8.started,Instructions_6pt2.started,Instructions6pt2.stopped,NextPage_8.keys,NextPage_8.rt,NextPage_8.duration,PracticeTrial1_Cue.started,CueFix_1.started,CueFix_1.stopped,CueTarget_1.started,CueTargetImage_1.started,Zero_back.started,CueTarget_1.stopped,CueTargetImage_1.stopped,Zero_back.stopped,PracticeTrial1_Cue.stopped,PracticeTrial_Stim.started,response.started,Stim.started,Stim_LeftScreenInstruction.started,Stim_RightScreenInstruction.started,PracticeTrial_Stim.stopped,practiceLoop.response.keys,practiceLoop.response.corr,practiceLoop.response.rt,practiceLoop.response.duration,PracticeTrial_Feedback.started,Fix.started,Feedback.started,Fix.stopped,Feedback.stopped,PracticeTrial_Feedback.stopped,response.stopped,Stim.stopped,Stim_LeftScreenInstruction.stopped,Stim_RightScreenInstruction.stopped,InstructionsSpaceToContinue.started,NextPage_9.started,Instructions_Space.started,InstructionsSpaceToContinue.stopped,NextPage_9.keys,NextPage_9.rt,NextPage_9.duration,PracticeTrial2_Cue.started,CueFix_2.started,CueTarget_2.started,CueTargetImage_2.started,Zero_back_2.started,CueFix_2.stopped,CueTarget_2.stopped,CueTargetImage_2.stopped,Zero_back_2.stopped,PracticeTrial2_Cue.stopped,practiceLoop2.response.keys,practiceLoop2.response.corr,Instructions8.started,NextPage_10.started,Instructions_8.started,Instructions8.stopped,NextPage_10.keys,NextPage_10.rt,NextPage_10.duration,Instructions11.started,NextPage_11.started,Instructions_11.started,Instructions11.stopped,NextPage_11.keys,NextPage_11.rt,NextPage_11.duration,Instructions9.started,NextPage_12.started,Instructions_9.started,Example_Stim.started,Example_LeftScreenInstruction.started,Example_RightScreenInstruction.started,Instructions9.stopped,NextPage_12.keys,NextPage_12.rt,NextPage_12.duration,Instructions21.started,NextPage_13.started,Instructions_21.started,One_Back_Example_Stim.started,Example_Stim_2.started,Example_LeftScreenInstruction_2.started,Example_RightScreenInstruction_2.started,Instructions21.stopped,NextPage_13.keys,NextPage_13.rt,NextPage_13.duration,Instructions24.started,NextPage_14.started,Instructions_24.started,Green_Border.started,Two_Back_Example_Stim.started,One_Back_Example_Stim_2.started,Example_Stim_3.started,Example_LeftScreenInstruction_3.started,Example_RightScreenInstruction_3.started,Instructions24.stopped,NextPage_14.keys,NextPage_14.rt,NextPage_14.duration,Instructions25.started,NextPage_15.started,Instructions_25.started,Two_Back_Example_Stim_2.started,One_Back_Example_Stim_3.started,Example_Stim_4.started,Example_LeftScreenInstruction_4.started,Example_RightScreenInstruction_4.started,Instructions25.stopped,NextPage_15.keys,NextPage_15.rt,NextPage_15.duration,Instructions15.started,NextPage_16.started,Instructions_15.started,Instructions15.stopped,NextPage_16.keys,NextPage_16.rt,NextPage_16.duration,Instructions32.started,NextPage_17.started,Instructions_32.started,Example_Stim_5.started,Example_LeftScreenInstruction_5.started,Example_RightScreenInstruction_5.started,Instructions32.stopped,NextPage_17.keys,NextPage_17.rt,NextPage_17.duration,Instructions27.started,NextPage_18.started,Instructions_27.started,Example_Stim_6.started,Example_LeftScreenInstruction_6.started,Example_RightScreenInstruction_6.started,Instructions27.stopped,NextPage_18.keys,NextPage_18.rt,NextPage_18.duration,Instructions33.started,NextPage_19.started,Instructions_33.started,Example_Stim_7.started,Example_LeftScreenInstruction_7.started,Example_RightScreenInstruction_7.started,Instructions33.stopped,NextPage_19.keys,NextPage_19.rt,NextPage_19.duration,Instructions26.started,NextPage_20.started,Instructions_26.started,One_Back_Example_Stim_4.started,Example_Stim_8.started,Example_LeftScreenInstruction_8.started,Example_RightScreenInstruction_8.started,Instructions26.stopped,NextPage_20.keys,NextPage_20.rt,NextPage_20.duration,Instructions34.started,NextPage_21.started,Instructions.started,Example_Stim_9.started,Example_LeftScreenInstruction_9.started,Example_RightScreenInstruction_9.started,Instructions34.stopped,NextPage_21.keys,NextPage_21.rt,NextPage_21.duration,Instructions28.started,NextPage_22.started,Instructions_28.started,Two_Back_Example_Stim_3.started,One_Back_Example_Stim_5.started,Example_Stim_10.started,Example_LeftScreenInstruction_10.started,Example_RightScreenInstruction_10.started,Instructions28.stopped,NextPage_22.keys,NextPage_22.rt,NextPage_22.duration,Instructions29.started,NextPage_23.started,Instructions_29.started,Green_Border_2.started,Two_Back_Example_Stim_4.started,One_Back_Example_Stim_6.started,Example_Stim_11.started,Example_LeftScreenInstruction_11.started,Example_RightScreenInstruction_11.started,Instructions29.stopped,NextPage_23.keys,NextPage_23.rt,NextPage_23.duration,Instructions22.started,NextPage_24.started,Instructions_22.started,Instructions22.stopped,NextPage_24.keys,NextPage_24.rt,NextPage_24.duration,Instructions30.started,NextPage_25.started,Instructions_30.started,Instructions30.stopped,NextPage_25.keys,NextPage_25.rt,NextPage_25.duration,practiceLoop3.response.keys,practiceLoop3.response.corr,practiceLoop4.response.keys,practiceLoop4.response.corr,Instructions36.started,NextPage_26.started,Instructions_36.started,Instructions36.stopped,NextPage_26.keys,NextPage_26.rt,NextPage_26.duration,PracticeTrial5_Cue.started,CueFix_5.started,Cue_2Back.started,CueFix_5.stopped,Cue_2Back.stopped,PracticeTrial5_Cue.stopped,practiceLoop5.response.keys,practiceLoop5.response.corr,PracticeTrial6_Cue.started,CueFix_6.started,CueFix_6.stopped,CueTarget_6.started,CueTargetImage_6.started,Zero_back_3.started,CueTarget_6.stopped,CueTargetImage_6.stopped,Zero_back_3.stopped,PracticeTrial6_Cue.stopped,practiceLoop6.response.keys,practiceLoop6.response.corr,PracticeTrial7_Cue.started,CueFix_7.started,CueFix_7.stopped,Cue_2Back_2.started,Cue_2Back_2.stopped,PracticeTrial7_Cue.stopped,practiceLoop7.response.keys,practiceLoop7.response.corr,PracticeTrial8_Cue.started,CueFix_8.started,CueTarget_8.started,CueTargetImage_8.started,Zero_back_4.started,CueFix_8.stopped,CueTarget_8.stopped,CueTargetImage_8.stopped,Zero_back_4.stopped,PracticeTrial8_Cue.stopped,practiceLoop8.response.keys,practiceLoop8.response.corr,Goodbye.started,EndProgram.started,AllDone.started,Please enter the Subject ID:,Please enter the Session Number:,Enter subject's handedness:,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020461833104491234,0.03887829231098294,0.03887829231098294,1.2570448331534863,space,1.1028883745893836,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23456,1,Right,2026-03-11_12h38.08.186,EmoNback_Practice,2024.2.4,None,2026-03-11 12h38.21.727505 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2578825829550624,1.2672990001738071,1.2672990001738071,4.198998417239636,space,2.92902141623199,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23456,1,Right,2026-03-11_12h38.08.186,EmoNback_Practice,2024.2.4,None,2026-03-11 12h38.21.727505 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.199548500124365,4.215302583295852,4.215302583295852,4.215302583295852,5.87843000004068,space,1.6619723751209676,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23456,1,Right,2026-03-11_12h38.08.186,EmoNback_Practice,2024.2.4,None,2026-03-11 12h38.21.727505 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.879003208130598,5.88606679206714,5.88606679206714,5.88606679206714,7.902803875040263,space,2.012139583006501,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23456,1,Right,2026-03-11_12h38.08.186,EmoNback_Practice,2024.2.4,None,2026-03-11 12h38.21.727505 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.904057958163321,7.911696792114526,7.911696792114526,11.331909582950175,space,3.412481041625142,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23456,1,Right,2026-03-11_12h38.08.186,EmoNback_Practice,2024.2.4,None,2026-03-11 12h38.21.727505 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.336997916921973,11.35024437494576,11.35024437494576,11.35024437494576,11.35024437494576,11.35024437494576,17.429621000308543,left,6.073916417080909,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23456,1,Right,2026-03-11_12h38.08.186,EmoNback_Practice,2024.2.4,None,2026-03-11 12h38.21.727505 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.430952458176762,17.509794583078474,17.509794583078474,19.925521333236247,right,2.4062942913733423,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23456,1,Right,2026-03-11_12h38.08.186,EmoNback_Practice,2024.2.4,None,2026-03-11 12h38.21.727505 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.926762625109404,19.93609591713175,19.93609591713175,20.906093458179384,space,0.9670293745584786,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23456,1,Right,2026-03-11_12h38.08.186,EmoNback_Practice,2024.2.4,None,2026-03-11 12h38.21.727505 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.90727433329448,20.917476542294025,21.41060229204595,21.41060229204595,21.41060229204595,21.41060229204595,23.939811167307198,23.939811167307198,23.939811167307198,23.897341582924128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23456,1,Right,2026-03-11_12h38.08.186,EmoNback_Practice,2024.2.4,None,2026-03-11 12h38.21.727505 -0500,
2,1,None,PracticeTrialsPROC,VM Stimuli/PracticeNC2.bmp,nontarget,Nontarget,NeutFace,0-Back,0,0,0,right,1,1.09228879166767,0.11118183331564069,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.939811167307198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.932582583278418,23.939811167307198,23.939811167307198,23.939811167307198,23.939811167307198,25.90651366719976,right,1,1.09228879166767,0.11118183331564069,25.912581082899123,25.918561708182096,26.39805108308792,26.41372716706246,27.892792250029743,27.880733583122492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23456,1,Right,2026-03-11_12h38.08.186,EmoNback_Practice,2024.2.4,None,2026-03-11 12h38.21.727505 -0500,
