ID,Weight,Nested,Procedure,Stimulus,TargetType,CorrectResponse,StimType,BlockType,thisN,thisTrialN,thisRepN,response.keys,response.corr,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,practiceLoop2.thisRepN,practiceLoop2.thisTrialN,practiceLoop2.thisN,practiceLoop2.thisIndex,practiceLoop3.thisRepN,practiceLoop3.thisTrialN,practiceLoop3.thisN,practiceLoop3.thisIndex,thisRow.t,notes,TitlePage.started,NextPage.started,NbackTitle.started,TitlePage.stopped,NextPage.keys,NextPage.rt,NextPage.duration,Instructions1.started,NextPage_2.started,Instructions_1.started,Instructions1.stopped,NextPage_2.keys,NextPage_2.rt,NextPage_2.duration,Instructions2.started,NextPage_3.started,Instructions_2.started,FaceImage.started,Instructions2.stopped,NextPage_3.keys,NextPage_3.rt,NextPage_3.duration,Instructions3.started,NextPage_4.started,Instructions_3.started,PlaceImage.started,Instructions3.stopped,NextPage_4.keys,NextPage_4.rt,NextPage_4.duration,Instructions5pt5.started,NextPage_5.started,Instructions_5pt5.started,Instructions5pt5.stopped,NextPage_5.keys,NextPage_5.rt,NextPage_5.duration,Instructions6.started,NextPage_6.started,Instructions_6.started,Instructions_6_Target.started,TargetImage.started,Instructions_6_Match.started,Instructions6.stopped,NextPage_6.keys,NextPage_6.rt,NextPage_6.duration,Instructions14.started,NextPage_7.started,Instructions_14.started,Instructions14.stopped,NextPage_7.keys,NextPage_7.rt,NextPage_7.duration,Instructions6pt2.started,NextPage_8.started,Instructions_6pt2.started,Instructions6pt2.stopped,NextPage_8.keys,NextPage_8.rt,NextPage_8.duration,PracticeTrial1_Cue.started,CueFix_1.started,CueTarget_1.started,CueTargetImage_1.started,Zero_back.started,CueFix_1.stopped,CueTarget_1.stopped,CueTargetImage_1.stopped,Zero_back.stopped,PracticeTrial1_Cue.stopped,PracticeTrial_Stim.started,response.started,Stim.started,Stim_LeftScreenInstruction.started,Stim_RightScreenInstruction.started,PracticeTrial_Stim.stopped,practiceLoop.response.keys,practiceLoop.response.corr,PracticeTrial_Feedback.started,Fix.started,Feedback.started,Fix.stopped,Feedback.stopped,PracticeTrial_Feedback.stopped,response.stopped,Stim.stopped,Stim_LeftScreenInstruction.stopped,Stim_RightScreenInstruction.stopped,InstructionsSpaceToContinue.started,NextPage_9.started,Instructions_Space.started,InstructionsSpaceToContinue.stopped,NextPage_9.keys,NextPage_9.rt,NextPage_9.duration,PracticeTrial2_Cue.started,CueFix_2.started,CueTarget_2.started,CueTargetImage_2.started,Zero_back_2.started,CueFix_2.stopped,CueTarget_2.stopped,CueTargetImage_2.stopped,Zero_back_2.stopped,PracticeTrial2_Cue.stopped,practiceLoop2.response.keys,practiceLoop2.response.corr,Instructions8.started,NextPage_10.started,Instructions_8.started,Instructions8.stopped,NextPage_10.keys,NextPage_10.rt,NextPage_10.duration,Instructions11.started,NextPage_11.started,Instructions_11.started,Instructions11.stopped,NextPage_11.keys,NextPage_11.rt,NextPage_11.duration,Instructions9.started,NextPage_12.started,Instructions_9.started,Example_Stim.started,Example_LeftScreenInstruction.started,Example_RightScreenInstruction.started,Instructions9.stopped,NextPage_12.keys,NextPage_12.rt,NextPage_12.duration,Instructions21.started,NextPage_13.started,Instructions_21.started,One_Back_Example_Stim.started,Example_Stim_2.started,Example_LeftScreenInstruction_2.started,Example_RightScreenInstruction_2.started,Instructions21.stopped,NextPage_13.keys,NextPage_13.rt,NextPage_13.duration,Instructions24.started,NextPage_14.started,Instructions_24.started,Green_Border.started,Two_Back_Example_Stim.started,One_Back_Example_Stim_2.started,Example_Stim_3.started,Example_LeftScreenInstruction_3.started,Example_RightScreenInstruction_3.started,Instructions24.stopped,NextPage_14.keys,NextPage_14.rt,NextPage_14.duration,Instructions25.started,NextPage_15.started,Instructions_25.started,Two_Back_Example_Stim_2.started,One_Back_Example_Stim_3.started,Example_Stim_4.started,Example_LeftScreenInstruction_4.started,Example_RightScreenInstruction_4.started,Instructions25.stopped,NextPage_15.keys,NextPage_15.rt,NextPage_15.duration,Instructions15.started,NextPage_16.started,Instructions_15.started,Instructions15.stopped,NextPage_16.keys,NextPage_16.rt,NextPage_16.duration,Instructions32.started,NextPage_17.started,Instructions_32.started,Example_Stim_5.started,Example_LeftScreenInstruction_5.started,Example_RightScreenInstruction_5.started,Instructions32.stopped,NextPage_17.keys,NextPage_17.rt,NextPage_17.duration,Instructions27.started,NextPage_18.started,Instructions_27.started,Example_Stim_6.started,Example_LeftScreenInstruction_6.started,Example_RightScreenInstruction_6.started,Instructions27.stopped,NextPage_18.keys,NextPage_18.rt,NextPage_18.duration,Instructions33.started,NextPage_19.started,Instructions_33.started,Example_Stim_7.started,Example_LeftScreenInstruction_7.started,Example_RightScreenInstruction_7.started,Instructions33.stopped,NextPage_19.keys,NextPage_19.rt,NextPage_19.duration,Instructions26.started,NextPage_20.started,Instructions_26.started,One_Back_Example_Stim_4.started,Example_Stim_8.started,Example_LeftScreenInstruction_8.started,Example_RightScreenInstruction_8.started,Instructions26.stopped,NextPage_20.keys,NextPage_20.rt,NextPage_20.duration,Instructions34.started,NextPage_21.started,Instructions.started,Example_Stim_9.started,Example_LeftScreenInstruction_9.started,Example_RightScreenInstruction_9.started,Instructions34.stopped,NextPage_21.keys,NextPage_21.rt,NextPage_21.duration,Instructions28.started,NextPage_22.started,Instructions_28.started,Two_Back_Example_Stim_3.started,One_Back_Example_Stim_5.started,Example_Stim_10.started,Example_LeftScreenInstruction_10.started,Example_RightScreenInstruction_10.started,Instructions28.stopped,NextPage_22.keys,NextPage_22.rt,NextPage_22.duration,Instructions29.started,NextPage_23.started,Instructions_29.started,Green_Border_2.started,Two_Back_Example_Stim_4.started,One_Back_Example_Stim_6.started,Example_Stim_11.started,Example_LeftScreenInstruction_11.started,Example_RightScreenInstruction_11.started,Instructions29.stopped,NextPage_23.keys,NextPage_23.rt,NextPage_23.duration,Instructions22.started,NextPage_24.started,Instructions_22.started,Instructions22.stopped,NextPage_24.keys,NextPage_24.rt,NextPage_24.duration,Instructions30.started,NextPage_25.started,Instructions_30.started,Instructions30.stopped,NextPage_25.keys,NextPage_25.rt,NextPage_25.duration,Please enter the Subject ID:,Please enter the Session Number:,Enter subject's handedness:,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019178499933332205,0.042105916887521744,0.042105916887521744,0.5855173338204622,space,0.4555667079985142,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42124,1,Right,2026-03-11_12h57.13.995,EmoNback_Practice,2024.2.4,None,2026-03-11 12h57.28.194180 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5863485839217901,0.5962837086990476,0.5962837086990476,0.6865097088739276,space,0.08587491698563099,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42124,1,Right,2026-03-11_12h57.13.995,EmoNback_Practice,2024.2.4,None,2026-03-11 12h57.28.194180 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6867936667986214,0.6947334166616201,0.6947334166616201,0.6947334166616201,0.8840018748305738,space,0.186469417065382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42124,1,Right,2026-03-11_12h57.13.995,EmoNback_Practice,2024.2.4,None,2026-03-11 12h57.28.194180 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8844158337451518,0.8906323336996138,0.8906323336996138,0.8906323336996138,1.414847666863352,space,0.5135139171034098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42124,1,Right,2026-03-11_12h57.13.995,EmoNback_Practice,2024.2.4,None,2026-03-11 12h57.28.194180 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4163226247765124,1.4246715838089585,1.4246715838089585,1.6031949170865119,space,0.16555820917710662,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42124,1,Right,2026-03-11_12h57.13.995,EmoNback_Practice,2024.2.4,None,2026-03-11 12h57.28.194180 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6088354168459773,1.6213667918927968,1.6213667918927968,1.6213667918927968,1.6213667918927968,1.6213667918927968,2.3361002090387046,left,0.7127708750776947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42124,1,Right,2026-03-11_12h57.13.995,EmoNback_Practice,2024.2.4,None,2026-03-11 12h57.28.194180 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3372324998490512,2.3568062498234212,2.3568062498234212,3.3417703746818006,right,0.978300916031003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42124,1,Right,2026-03-11_12h57.13.995,EmoNback_Practice,2024.2.4,None,2026-03-11 12h57.28.194180 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3424420417286456,3.350412374828011,3.350412374828011,3.7326144170947373,space,0.379700459074229,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42124,1,Right,2026-03-11_12h57.13.995,EmoNback_Practice,2024.2.4,None,2026-03-11 12h57.28.194180 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7338168337009847,3.7426529587246478,4.237399791833013,4.237399791833013,4.237399791833013,4.244574666954577,6.773308834061027,6.773308834061027,6.773308834061027,6.7306768340058625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42124,1,Right,2026-03-11_12h57.13.995,EmoNback_Practice,2024.2.4,None,2026-03-11 12h57.28.194180 -0500,
2,1,None,PracticeTrialsPROC,VM Stimuli/PracticeNC2.bmp,nontarget,Nontarget,NeutFace,0-Back,0,0,0,None,0,0,0,0,0,,,,,,,,,6.773308834061027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.766050041653216,6.773308834061027,6.773308834061027,6.773308834061027,6.773308834061027,8.73752733366564,None,0,8.738950124941766,8.745216999668628,9.22382316691801,9.240925416816026,10.71781437471509,10.71069262502715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42124,1,Right,2026-03-11_12h57.13.995,EmoNback_Practice,2024.2.4,None,2026-03-11 12h57.28.194180 -0500,
