ID,Weight,Nested,Procedure,Stimulus,TargetType,CorrectResponse,StimType,BlockType,thisN,thisTrialN,thisRepN,response.keys,response.corr,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,practiceLoop2.thisRepN,practiceLoop2.thisTrialN,practiceLoop2.thisN,practiceLoop2.thisIndex,practiceLoop3.thisRepN,practiceLoop3.thisTrialN,practiceLoop3.thisN,practiceLoop3.thisIndex,practiceLoop4.thisRepN,practiceLoop4.thisTrialN,practiceLoop4.thisN,practiceLoop4.thisIndex,thisRow.t,notes,TitlePage.started,NextPage.started,NbackTitle.started,TitlePage.stopped,NextPage.keys,NextPage.rt,NextPage.duration,Instructions1.started,NextPage_2.started,Instructions_1.started,Label_faces.started,Places_label.started,Face_image.started,Place_Image.started,Instructions1.stopped,NextPage_2.keys,NextPage_2.rt,NextPage_2.duration,Instructions5pt5.started,NextPage_5.started,Instructions_5pt5.started,Instructions5pt5.stopped,NextPage_5.keys,NextPage_5.rt,NextPage_5.duration,Instructions6.started,NextPage_6.started,Instructions_6.started,Instructions_6_Target.started,TargetImage.started,Instructions6.stopped,NextPage_6.keys,NextPage_6.rt,NextPage_6.duration,Instructions6pt1.started,NextPage_27.started,Instructions_7.started,TargetImage_2.started,Instructions_6_Match_2.started,Instructions6pt1.stopped,NextPage_27.keys,NextPage_27.rt,NextPage_27.duration,Instructions14.started,NextPage_7.started,Instructions_10.started,Instructions_6_Match_3.started,TargetImage_3.started,Instructions14.stopped,NextPage_7.keys,NextPage_7.rt,NextPage_7.duration,Instructions6pt2.started,NextPage_8.started,Instructions_6pt2.started,Instructions6pt2.stopped,NextPage_8.keys,NextPage_8.rt,NextPage_8.duration,PracticeTrial1_Cue.started,CueFix_1.started,CueTarget_1.started,CueTargetImage_1.started,Zero_back.started,CueFix_1.stopped,CueTarget_1.stopped,CueTargetImage_1.stopped,Zero_back.stopped,PracticeTrial1_Cue.stopped,PracticeTrial_Stim.started,response.started,Stim.started,Stim_LeftScreenInstruction.started,Stim_RightScreenInstruction.started,PracticeTrial_Stim.stopped,practiceLoop.response.keys,practiceLoop.response.corr,PracticeTrial_Feedback.started,Fix.started,Feedback.started,Fix.stopped,Feedback.stopped,PracticeTrial_Feedback.stopped,response.stopped,Stim.stopped,Stim_LeftScreenInstruction.stopped,Stim_RightScreenInstruction.stopped,InstructionsSpaceToContinue.started,NextPage_9.started,Instructions_Space.started,InstructionsSpaceToContinue.stopped,NextPage_9.keys,NextPage_9.rt,NextPage_9.duration,PracticeTrial2_Cue.started,CueFix_2.started,CueTarget_2.started,CueTargetImage_2.started,Zero_back_2.started,CueFix_2.stopped,CueTarget_2.stopped,CueTargetImage_2.stopped,Zero_back_2.stopped,PracticeTrial2_Cue.stopped,practiceLoop2.response.keys,practiceLoop2.response.corr,Instructions8.started,NextPage_10.started,Instructions_8.started,Instructions8.stopped,NextPage_10.keys,NextPage_10.rt,NextPage_10.duration,Instructions9.started,NextPage_12.started,Instructions_9.started,Example_Stim.started,Example_LeftScreenInstruction.started,Example_RightScreenInstruction.started,Instructions_12.started,Instructions9.stopped,NextPage_12.keys,NextPage_12.rt,NextPage_12.duration,Instructions21.started,NextPage_13.started,Instructions_21.started,One_Back_Example_Stim.started,Example_Stim_2.started,Example_LeftScreenInstruction_2.started,Example_RightScreenInstruction_2.started,Instructions21.stopped,NextPage_13.keys,NextPage_13.rt,NextPage_13.duration,Instructions24.started,NextPage_14.started,Instructions_24.started,Green_Border.started,Two_Back_Example_Stim.started,One_Back_Example_Stim_2.started,Example_Stim_3.started,Example_LeftScreenInstruction_3.started,Example_RightScreenInstruction_3.started,Instructions24.stopped,NextPage_14.keys,NextPage_14.rt,NextPage_14.duration,Instructions25.started,NextPage_15.started,Instructions_25.started,Two_Back_Example_Stim_2.started,One_Back_Example_Stim_3.started,Example_Stim_4.started,Example_LeftScreenInstruction_4.started,Example_RightScreenInstruction_4.started,Instructions25.stopped,NextPage_15.keys,NextPage_15.rt,NextPage_15.duration,Instructions15.started,NextPage_16.started,Instructions_15.started,Instructions15.stopped,NextPage_16.keys,NextPage_16.rt,NextPage_16.duration,Instructions32.started,NextPage_17.started,Instructions_32.started,Example_Stim_5.started,Example_LeftScreenInstruction_5.started,Example_RightScreenInstruction_5.started,Instructions32.stopped,NextPage_17.keys,NextPage_17.rt,NextPage_17.duration,Instructions27.started,NextPage_18.started,Instructions_27.started,Example_Stim_6.started,Example_LeftScreenInstruction_6.started,Example_RightScreenInstruction_6.started,Instructions27.stopped,NextPage_18.keys,NextPage_18.rt,NextPage_18.duration,Instructions33.started,NextPage_19.started,Instructions_33.started,Example_Stim_7.started,Example_LeftScreenInstruction_7.started,Example_RightScreenInstruction_7.started,Instructions33.stopped,NextPage_19.keys,NextPage_19.rt,NextPage_19.duration,Instructions26.started,NextPage_20.started,Instructions_26.started,One_Back_Example_Stim_4.started,Example_Stim_8.started,Example_LeftScreenInstruction_8.started,Example_RightScreenInstruction_8.started,Instructions26.stopped,NextPage_20.keys,NextPage_20.rt,NextPage_20.duration,Instructions34.started,NextPage_21.started,Instructions.started,Example_Stim_9.started,Example_LeftScreenInstruction_9.started,Example_RightScreenInstruction_9.started,Instructions34.stopped,NextPage_21.keys,NextPage_21.rt,NextPage_21.duration,Instructions28.started,NextPage_22.started,Instructions_28.started,Two_Back_Example_Stim_3.started,One_Back_Example_Stim_5.started,Example_Stim_10.started,Example_LeftScreenInstruction_10.started,Example_RightScreenInstruction_10.started,Instructions28.stopped,NextPage_22.keys,NextPage_22.rt,NextPage_22.duration,Instructions_31.started,NextPage_28.started,Instructions_4.started,Example_Stim_12.started,Example_LeftScreenInstruction_12.started,Example_RightScreenInstruction_12.started,Instructions_31.stopped,NextPage_28.keys,NextPage_28.rt,NextPage_28.duration,Instructions29.started,NextPage_23.started,Instructions_29.started,Green_Border_2.started,Two_Back_Example_Stim_4.started,One_Back_Example_Stim_6.started,Example_Stim_11.started,Example_LeftScreenInstruction_11.started,Example_RightScreenInstruction_11.started,Instructions29.stopped,NextPage_23.keys,NextPage_23.rt,NextPage_23.duration,Instructions22.started,NextPage_24.started,Instructions_22.started,Instructions22.stopped,NextPage_24.keys,NextPage_24.rt,NextPage_24.duration,Instructions30.started,NextPage_25.started,Instructions_30.started,Instructions30.stopped,NextPage_25.keys,NextPage_25.rt,NextPage_25.duration,practiceLoop3.response.keys,practiceLoop3.response.corr,practiceLoop4.response.keys,practiceLoop4.response.corr,Instructions36.started,NextPage_26.started,Instructions_36.started,magenta_fixcross.started,Instructions_37.started,Instructions36.stopped,NextPage_26.keys,NextPage_26.rt,NextPage_26.duration,Instructions_5.started,NextPage_29.started,Instructions_38.started,Please enter the Subject ID:,Please enter the Session Number:,Enter subject's handedness:,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03362995805218816,0.08309470769017935,0.08309470769017935,19.486639250069857,space,19.227406125050038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AANNNAAA,1,Right,2026-04-13_10h21.19.504,EmoNback_Practice,,2025.1.1,60,2026-04-13 10h25.33.329827 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.48765204194933,19.507320082746446,19.507320082746446,19.507320082746446,19.507320082746446,19.507320082746446,19.507320082746446,47.09857991710305,space,27.589280750136822,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AANNNAAA,1,Right,2026-04-13_10h21.19.504,EmoNback_Practice,,2025.1.1,60,2026-04-13 10h25.33.329827 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.09980008285493,47.118935333099216,47.118935333099216,50.508395249955356,space,3.3751897080801427,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AANNNAAA,1,Right,2026-04-13_10h21.19.504,EmoNback_Practice,,2025.1.1,60,2026-04-13 10h25.33.329827 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.51170183299109,50.532425332814455,50.532425332814455,50.532425332814455,50.532425332814455,53.434142207726836,space,2.887820417061448,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AANNNAAA,1,Right,2026-04-13_10h21.19.504,EmoNback_Practice,,2025.1.1,60,2026-04-13 10h25.33.329827 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.436746708117425,53.46472149994224,53.46472149994224,53.46472149994224,53.46472149994224,198.30571866687387,left,144.83103237533942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AANNNAAA,1,Right,2026-04-13_10h21.19.504,EmoNback_Practice,,2025.1.1,60,2026-04-13 10h25.33.329827 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.30918620806187,198.35128116700798,198.35128116700798,198.35128116700798,198.35128116700798,220.7564598750323,right,22.3990854579024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AANNNAAA,1,Right,2026-04-13_10h21.19.504,EmoNback_Practice,,2025.1.1,60,2026-04-13 10h25.33.329827 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.75747791677713,220.77078287489712,220.77078287489712,224.1048941668123,space,3.3312996248714626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AANNNAAA,1,Right,2026-04-13_10h21.19.504,EmoNback_Practice,,2025.1.1,60,2026-04-13 10h25.33.329827 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.10743154166266,224.1238986668177,224.6124232080765,224.6124232080765,224.6124232080765,224.62611104175448,227.17175708292052,227.17175708292052,227.17175708292052,227.0963800419122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AANNNAAA,1,Right,2026-04-13_10h21.19.504,EmoNback_Practice,,2025.1.1,60,2026-04-13 10h25.33.329827 -0500,
2,1,None,PracticeTrialsPROC,VM Stimuli/PracticeNC2.bmp,nontarget,Nontarget,NeutFace,0-Back,0,0,0,None,0,0,0,0,0,,,,,,,,,,,,,227.17175708292052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.15926745766774,227.17175708292052,227.17175708292052,227.17175708292052,227.17175708292052,229.12084395810962,None,0,229.13929062476382,229.1508450829424,229.62074950011447,229.6484544579871,231.12909045768902,231.10484166676179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AANNNAAA,1,Right,2026-04-13_10h21.19.504,EmoNback_Practice,,2025.1.1,60,2026-04-13 10h25.33.329827 -0500,
3,1,None,PracticeTrialsPROC,VM Stimuli/PracticeNC1.bmp,target,Target,NeutFace,0-Back,1,1,0,None,0,0,1,1,1,,,,,,,,,,,,,231.12909045768902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.1135961250402,231.12909045768902,231.12909045768902,231.12909045768902,231.12909045768902,233.10696087498218,None,0,233.10900783305988,233.13162145810202,233.60521933296695,233.63456945773214,235.1150592500344,235.09154537506402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AANNNAAA,1,Right,2026-04-13_10h21.19.504,EmoNback_Practice,,2025.1.1,60,2026-04-13 10h25.33.329827 -0500,
